item,ascending,descending,dfs,bfs,nlr,lrn,lnr,bfactor
-483, -483, 480, 95, 95, 95, -483, -483, RH
223, -479, 452, -244, -244, -244, -475, -479, EH
480, -475, 450, -390, 223, -390, -479, -475, RH
95, -470, 434, -470, -390, -470, -450, -470, EH
415, -450, 415, -479, -17, -479, -410, -450, LH
-244, -431, 371, -483, 182, -483, -431, -431, EH
339, -410, 353, -475, 415, -475, -470, -410, LH
202, -390, 339, -431, -470, -431, -378, -390, EH
182, -378, 309, -450, -339, -450, -330, -378, RH
188, -339, 299, -410, -96, -410, -320, -339, EH
434, -330, 292, -339, 13, -339, -339, -330, RH
95, -320, 237, -378, 145, -378, -390, -320, EH
-378, -244, 235, -320, 202, -320, -176, -244, LH
13, -176, 223, -330, 299, -330, -128, -176, RH
-89, -162, 222, -17, 450, -17, -162, -162, RH
450, -128, 202, -96, -479, -96, -89, -128, EH
-320, -96, 188, -162, -431, -162, -58, -96, EH
-17, -89, 184, -176, -378, -176, -80, -89, EH
237, -80, 182, -128, -320, -128, -96, -80, LH
299, -58, 161, -80, -162, -80, 66, -58, EH
-390, -17, 155, -89, -80, -89, 13, -17, EH
161, 13, 146, -58, 66, -58, -17, 13, EMPTY
66, 66, 145, 13, 99, 13, -244, 66, EH
-479, 95, 142, 66, 155, 66, 95, 95, EH
145, 95, 99, 223, 188, 223, 142, 95, EH
155, 99, 95, 182, 222, 182, 99, 99, LH
353, 142, 95, 145, 237, 145, 146, 142, EH
-450, 145, 66, 99, 339, 99, 161, 145, EH
235, 146, 13, 95, 434, 95, 155, 146, RH
-96, 155, -17, 142, 480, 142, 145, 155, EH
-162, 161, -58, 155, -483, 155, 184, 161, LH
452, 182, -80, 146, -475, 146, 188, 182, EH
-470, 184, -89, 161, -450, 161, 222, 184, EH
292, 188, -96, 202, -410, 202, 202, 188, EH
142, 202, -128, 188, -330, 188, 182, 202, EH
-80, 222, -162, 184, -176, 184, 235, 222, EH
222, 223, -176, 222, -128, 222, 292, 223, EMPTY
309, 235, -244, 415, -89, 415, 237, 235, EH
146, 237, -320, 299, -58, 299, 309, 237, EH
184, 292, -330, 237, 95, 237, 371, 292, EH
-475, 299, -339, 235, 142, 235, 353, 299, EH
-128, 309, -378, 292, 146, 292, 339, 309, EH
-339, 339, -390, 339, 161, 339, 299, 339, EH
371, 353, -410, 309, 184, 309, 434, 353, EH
99, 371, -431, 353, 235, 353, 452, 371, EH
-431, 415, -450, 371, 292, 371, 480, 415, EH
-58, 434, -470, 450, 309, 450, 450, 434, EMPTY
-330, 450, -475, 434, 353, 434, 415, 450, EH
-176, 452, -479, 480, 452, 480, 223, 452, EH
-410, 480, -483, 452, 371, 452, 95, 480, EH
None, None, None, None, None, None, None, None, RH
None, None, None, None, None, None, None, None, EH
None, None, None, None, None, None, None, None, EMPTY
None, None, None, None, None, None, None, None, EMPTY
None, None, None, None, None, None, None, None, EH
