add,dfs0,bfs0,bfactor0,remove-then-add0,dfs1,bfs1,bfactor1,dfs2,bfs2,bfactor2,remove-then-add1,dfs3,bfs3,bfactor3,dfs4,bfs4,bfactor4
0, 255, 255, RH, 151, 255, 255, RH, 255, 255, RH, 258, 255, 255, RH, 255, 255, RH
1, 127, 127, EH, 353, 126, 126, RH, 126, 126, EH, 1, 126, 126, EH, 126, 126, EH
2, 63, 383, RH, 30, 62, 383, RH, 62, 445, EH, 522, 60, 445, LH, 60, 445, EH
3, 31, 63, EH, 259, 14, 62, EH, 28, 62, EH, 3, 28, 60, RH, 28, 60, EH
4, 15, 191, EH, 381, 7, 189, LH, 14, 189, EH, 400, 14, 188, LH, 14, 188, EH
5, 7, 319, EH, 5, 2, 314, RH, 7, 383, LH, 236, 6, 382, LH, 5, 350, EH
6, 3, 511, EH, 535, 3, 511, LH, 3, 511, RH, 162, 2, 510, EH, 2, 510, RH
7, 1, 31, EH, 265, 8, 14, RH, 1, 28, EH, 7, 5, 28, EH, 1, 28, EH
8, 0, 95, EH, 144, 12, 91, EH, 0, 91, EH, 412, 10, 91, RH, 0, 91, EH
9, 2, 159, EH, 335, 28, 159, RH, 2, 159, EH, 61, 18, 159, RH, 3, 159, EH
10, 5, 223, EH, 466, 23, 223, EH, 5, 223, EH, 310, 15, 222, EH, 4, 222, EH
11, 4, 287, EH, 149, 17, 285, EH, 4, 314, EH, 32, 23, 314, RH, 10, 314, LH
12, 6, 351, EH, 523, 16, 351, RH, 6, 414, EH, 394, 22, 413, EH, 7, 382, RH
13, 11, 447, EH, 38, 18, 445, EH, 11, 479, EH, 587, 26, 479, RH, 6, 479, EH
14, 9, 543, RH, 462, 26, 557, EH, 9, 539, RH, 195, 37, 557, EH, 8, 557, RH
15, 8, 15, EH, 15, 43, 7, EH, 8, 14, RH, 356, 34, 14, EH, 9, 14, EH
16, 10, 47, EH, 246, 37, 28, EH, 10, 43, EH, 204, 30, 37, EH, 12, 47, LH
