item,ascending,descending,dfs,bfs,nlr,lrn,lnr,bfactor
-482, -499, 500, 27, 27, 27, -499, -499, EH
-201, -486, 498, -201, -201, -201, -486, -486, LH
260, -486, 497, -335, 147, -335, -482, -486, RH
27, -482, 485, -416, -335, -416, -486, -482, LH
53, -476, 479, -476, -66, -476, -466, -476, EH
-296, -466, 475, -486, 53, -486, -439, -466, RH
-310, -442, 474, -499, 368, -499, -442, -442, EH
145, -439, 473, -482, -416, -482, -476, -439, EH
147, -416, 471, -486, -296, -486, -415, -416, EH
-78, -415, 460, -442, -123, -442, -369, -415, LH
-392, -394, 454, -466, -37, -466, -392, -394, EH
65, -392, 452, -439, 39, -439, -394, -392, RH
171, -369, 411, -360, 91, -360, -359, -369, RH
-258, -360, 408, -394, 260, -394, -347, -360, EH
-416, -359, 405, -415, 454, -415, -354, -359, RH
-66, -354, 375, -392, -476, -392, -360, -354, LH
238, -347, 368, -369, -360, -369, -416, -347, LH
368, -335, 355, -354, -310, -354, -330, -335, EH
408, -330, 354, -359, -255, -359, -326, -330, EH
-360, -329, 332, -347, -146, -347, -329, -329, EH
485, -326, 329, -296, -78, -296, -299, -326, LH
500, -310, 316, -310, -50, -310, -303, -310, LH
-486, -303, 277, -329, -1, -329, -310, -303, EH
43, -299, 261, -330, 35, -330, -293, -299, EH
454, -296, 260, -326, 43, -326, -258, -296, RH
-499, -293, 246, -303, 70, -303, -255, -293, LH
-50, -258, 242, -299, 129, -299, -205, -258, RH
246, -255, 238, -255, 204, -255, -228, -255, RH
35, -255, 222, -258, 332, -258, -255, -255, LH
-37, -228, 207, -293, 411, -293, -296, -228, LH
355, -205, 204, -228, 485, -228, -335, -205, LH
-439, -201, 200, -255, -486, -255, -192, -201, RH
-347, -192, 181, -205, -442, -205, -187, -192, EH
-335, -187, 171, -66, -394, -66, -124, -187, RH
-54, -146, 147, -123, -354, -123, -136, -146, EH
332, -136, 145, -146, -329, -146, -146, -136, EH
-146, -124, 145, -187, -303, -187, -95, -124, RH
129, -123, 129, -192, -258, -192, -78, -123, LH
-303, -95, 94, -136, -228, -136, -123, -95, EH
452, -78, 91, -124, -187, -124, -61, -78, LH
-123, -66, 70, -78, -136, -78, -54, -66, RH
-1, -61, 65, -95, -95, -95, -40, -61, EH
-205, -54, 53, -37, -54, -37, -50, -54, EMPTY
39, -50, 44, -50, -40, -50, -37, -50, LH
-326, -40, 43, -54, -25, -54, -25, -40, EH
204, -37, 39, -61, 20, -61, -25, -37, EH
-476, -37, 35, -40, 44, -40, 23, -37, RH
-95, -25, 27, -1, 65, -1, 20, -25, EMPTY
460, -25, 23, -25, 94, -25, -1, -25, EH
411, -1, 20, -37, 145, -37, -37, -1, EH
-466, 20, -1, -25, 181, -25, -66, 20, EMPTY
316, 23, -25, 20, 238, 20, -201, 23, EH
375, 27, -25, 23, 316, 23, 35, 27, RH
-442, 35, -37, 147, 355, 147, 44, 35, EH
354, 39, -37, 53, 405, 53, 43, 39, EH
-37, 43, -40, 39, 452, 39, 39, 43, LH
-293, 44, -50, 35, 474, 35, 65, 44, LH
-40, 53, -54, 43, 498, 43, 70, 53, EH
-228, 65, -61, 44, -499, 44, 94, 65, EH
70, 70, -66, 91, -482, 91, 145, 70, EH
200, 91, -78, 70, -466, 70, 145, 91, EH
498, 94, -95, 65, -439, 65, 129, 94, EH
-187, 129, -123, 129, -415, 129, 91, 129, LH
-25, 145, -124, 94, -392, 94, 53, 145, EH
497, 145, -136, 145, -359, 145, 171, 145, EH
20, 147, -146, 145, -347, 145, 200, 147, EH
222, 171, -187, 368, -330, 368, 181, 171, RH
91, 181, -192, 260, -326, 260, 207, 181, EH
261, 200, -201, 204, -299, 204, 222, 200, EH
-329, 204, -205, 181, -293, 181, 242, 204, EH
-359, 207, -228, 171, -255, 171, 246, 207, EH
94, 222, -255, 200, -205, 200, 238, 222, EMPTY
-394, 238, -255, 238, -192, 238, 204, 238, EH
471, 242, -258, 222, -124, 222, 277, 242, EH
44, 246, -293, 207, -61, 207, 261, 246, EMPTY
479, 260, -296, 246, -37, 246, 329, 260, EH
-486, 261, -299, 242, -25, 242, 316, 261, EH
-255, 277, -303, 332, 23, 332, 354, 277, EH
-25, 316, -310, 316, 145, 316, 355, 316, EMPTY
145, 329, -326, 261, 171, 261, 332, 329, EMPTY
-136, 332, -329, 277, 200, 277, 260, 332, EH
474, 354, -330, 329, 222, 329, 375, 354, EH
329, 355, -335, 355, 246, 355, 408, 355, EMPTY
405, 368, -347, 354, 261, 354, 405, 368, EH
-299, 375, -354, 454, 329, 454, 452, 375, EH
-330, 405, -359, 411, 354, 411, 411, 405, EMPTY
277, 408, -360, 405, 375, 405, 460, 408, EH
181, 411, -369, 375, 408, 375, 473, 411, EMPTY
242, 452, -392, 408, 471, 408, 471, 452, EH
-124, 454, -394, 452, 479, 452, 475, 454, EH
-255, 460, -415, 485, 497, 485, 479, 460, EH
473, 471, -416, 474, 500, 474, 474, 471, LH
207, 473, -439, 471, -486, 471, 497, 473, LH
-192, 474, -442, 460, -369, 460, 500, 474, RH
475, 475, -466, 473, 207, 473, 498, 475, EH
23, 479, -476, 479, 242, 479, 485, 479, EH
-61, 485, -482, 475, 277, 475, 454, 485, EMPTY
-354, 497, -486, 498, 460, 498, 368, 497, EH
-415, 498, -486, 497, 473, 497, 147, 498, EH
-369, 500, -499, 500, 475, 500, 27, 500, EH
None, None, None, None, None, None, None, None, LH
None, None, None, None, None, None, None, None, EH
None, None, None, None, None, None, None, None, EH
None, None, None, None, None, None, None, None, EH
None, None, None, None, None, None, None, None, EMPTY
None, None, None, None, None, None, None, None, EMPTY
None, None, None, None, None, None, None, None, EH
None, None, None, None, None, None, None, None, EH
None, None, None, None, None, None, None, None, EMPTY
None, None, None, None, None, None, None, None, EH
None, None, None, None, None, None, None, None, EMPTY
None, None, None, None, None, None, None, None, EMPTY
None, None, None, None, None, None, None, None, EH
None, None, None, None, None, None, None, None, EH
None, None, None, None, None, None, None, None, EH
None, None, None, None, None, None, None, None, EH
None, None, None, None, None, None, None, None, EMPTY
