item,ascending,descending,dfs,bfs,nlr,lrn,lnr,bfactor
-483, -483, 453, -14, -14, -14, -403, -483, EH
-355, -403, 285, -224, -224, -224, -483, -403, LH
-301, -355, 259, -355, 218, -355, -301, -355, EH
162, -301, 258, -483, -355, -483, -355, -301, LH
-224, -224, 239, -403, -43, -403, -192, -224, EH
-192, -192, 218, -301, 124, -301, -36, -192, LH
-14, -43, 162, -43, 259, -43, -43, -43, EH
259, -36, 124, -192, -483, -192, -224, -36, RH
218, -14, 123, -36, -301, -36, 66, -14, EH
453, 66, 74, 218, -192, 218, 123, 66, EH
258, 74, 66, 124, -36, 124, 74, 74, EH
124, 123, -14, 74, 74, 74, 162, 123, EH
74, 124, -36, 66, 162, 66, 124, 124, EH
285, 162, -43, 123, 258, 123, 239, 162, LH
239, 218, -192, 162, 453, 162, 258, 218, LH
-36, 239, -224, 259, -403, 259, 285, 239, EMPTY
123, 258, -301, 258, 66, 258, 453, 258, EH
-403, 259, -355, 239, 123, 239, 259, 259, EH
66, 285, -403, 453, 239, 453, 218, 285, EH
-43, 453, -483, 285, 285, 285, -14, 453, EH
None, None, None, None, None, None, None, None, EMPTY
None, None, None, None, None, None, None, None, EH
None, None, None, None, None, None, None, None, EMPTY
