add,dfs0,bfs0,bfactor0,remove-then-add0,dfs1,bfs1,bfactor1,dfs2,bfs2,bfactor2,remove-then-add1,dfs3,bfs3,bfactor3,dfs4,bfs4,bfactor4
0, 63, 63, EH, 42, 63, 63, LH, 30, 30, RH, 69, 41, 41, RH, 41, 41, RH
1, 31, 31, EH, 10, 30, 30, RH, 13, 13, EH, 89, 10, 10, RH, 18, 18, EH
2, 15, 79, RH, 95, 13, 77, RH, 8, 63, EH, 97, 1, 62, RH, 10, 75, EH
3, 7, 15, EH, 3, 5, 13, LH, 5, 8, LH, 66, 0, 1, RH, 7, 10, EH
4, 3, 47, EH, 43, 1, 41, RH, 1, 18, RH, 57, 8, 27, EH, 3, 27, EH
5, 1, 71, EH, 59, 0, 68, EH, 0, 41, RH, 28, 6, 53, LH, 1, 62, LH
6, 0, 87, RH, 72, 8, 84, RH, 3, 77, EH, 90, 27, 75, RH, 0, 91, LH
7, 2, 7, EH, 28, 12, 5, EH, 2, 5, LH, 7, 18, 0, EH, 2, 7, LH
8, 5, 23, EH, 69, 18, 18, EH, 4, 10, RH, 31, 15, 8, LH, 5, 15, LH
9, 4, 39, EH, 87, 17, 35, EH, 6, 16, LH, 9, 17, 18, EH, 4, 22, RH
10, 6, 55, EH, 96, 24, 54, RH, 7, 24, EH, 54, 21, 35, RH, 6, 35, EH
11, 11, 67, EH, 16, 41, 65, EH, 10, 35, EH, 65, 26, 46, LH, 8, 53, EH
12, 9, 75, EH, 76, 35, 75, LH, 9, 54, EH, 51, 35, 59, RH, 9, 68, EH
13, 8, 83, EH, 94, 32, 81, EH, 12, 68, RH, 80, 32, 71, LH, 15, 83, LH
14, 10, 95, EH, 93, 34, 91, EH, 11, 91, EH, 14, 39, 91, EH, 12, 94, RH
15, 13, 3, EH, 15, 38, 1, LH, 18, 1, RH, 29, 40, 6, EH, 11, 3, EH
16, 12, 11, EH, 66, 36, 8, RH, 16, 6, RH, 98, 62, 15, EMPTY, 14, 8, RH
17, 14, 19, EH, 20, 54, 17, EH, 15, 9, EH, 85, 53, 21, RH, 13, 12, RH
18, 23, 27, EH, 53, 49, 24, EH, 14, 12, LH, 34, 46, 32, RH, 17, 17, LH
19, 19, 35, EH, 39, 50, 32, RH, 17, 15, LH, 30, 44, 39, EH, 16, 20, EH
20, 17, 43, EH, 40, 57, 38, LH, 24, 17, EH, 20, 45, 44, RH, 27, 25, LH
21, 16, 51, EH, 51, 56, 49, RH, 22, 22, LH, 22, 52, 52, RH, 22, 31, EH
22, 18, 59, EH, 22, 61, 57, RH, 20, 27, EH, 11, 59, 60, EH, 20, 39, LH
23, 21, 65, EH, 23, 60, 64, EH, 19, 33, LH, 87, 60, 68, EMPTY, 19, 46, EH
24, 20, 69, EH, 37, 77, 67, EH, 21, 38, EH, 43, 75, 72, EH, 21, 59, LH
25, 22, 73, EH, 11, 68, 73, EH, 23, 49, EH, 25, 71, 83, EH, 25, 65, EH
26, 27, 77, EH, 92, 65, 80, EMPTY, 27, 57, RH, 77, 68, 94, EH, 23, 72, EH
27, 25, 81, EH, 27, 64, 82, EH, 25, 65, RH, 12, 64, 17, LH, 24, 80, LH
28, 24, 85, EH, 14, 67, 89, EH, 26, 73, LH, 23, 70, 26, EH, 26, 87, EH
29, 26, 91, EH, 55, 75, 98, LH, 28, 84, EH, 16, 72, 40, EMPTY, 35, 93, LH
30, 29, 97, RH, 21, 73, 0, LH, 29, 95, RH, 84, 91, 45, EH, 31, 97, EH
31, 28, 1, EH, 58, 84, 12, EH, 63, 0, EH, 73, 83, 64, EMPTY, 29, 1, EH
32, 30, 5, EH, 62, 81, 34, EMPTY, 41, 3, EH, 49, 81, 70, EH, 28, 5, EH
33, 47, 9, EH, 33, 80, 36, EMPTY, 35, 7, EMPTY, 2, 78, 81, EMPTY, 30, 9, EMPTY
34, 39, 13, EH, 71, 82, 50, EH, 33, 11, EH, 79, 88, 88, EH, 33, 11, EH
35, 35, 17, EH, 74, 91, 56, EMPTY, 32, 14, EH, 61, 94, 93, EMPTY, 32, 14, EH
36, 33, 21, EH, 6, 89, 61, EH, 31, 20, EMPTY, 38, 93, 96, EH, 34, 16, LH
37, 32, 25, EH, 31, 88, 88, EH, 34, 23, EH, 33, 92, 78, EH, 39, 19, EH
38, 34, 29, EH, 9, 98, 97, EMPTY, 38, 25, EMPTY, 86, 96, 92, EH, 37, 21, EMPTY
39, 37, 33, EH, 78, 97, 60, EMPTY, 36, 28, EH, 95, 99, 99, LH, 36, 23, EH
40, 36, 37, EH, 45, None, None, EH, 37, 32, EH, 24, None, None, EH, 38, 26, EH
41, 38, 41, EH, 25, None, None, EH, 39, 34, RH, 63, None, None, LH, 40, 29, RH
42, 43, 45, EH, 99, None, None, LH, 40, 36, RH, 82, None, None, RH, 75, 33, EH
