add,dfs0,bfs0,bfactor0,remove-then-add0,dfs1,bfs1,bfactor1,dfs2,bfs2,bfactor2,remove-then-add1,dfs3,bfs3,bfactor3,dfs4,bfs4,bfactor4
0, 255, 255, EH, 413, 255, 255, RH, 255, 255, EH, 445, 255, 255, EH, 255, 255, EH
1, 127, 127, EH, 294, 124, 124, EH, 124, 124, EH, 338, 124, 124, RH, 124, 124, EH
2, 63, 383, EH, 267, 61, 383, LH, 61, 383, EH, 2, 55, 383, EH, 55, 383, EH
3, 31, 63, EH, 216, 31, 61, EH, 31, 61, EH, 333, 25, 55, EH, 25, 55, EH
4, 15, 191, EH, 121, 15, 187, EH, 12, 187, EH, 197, 8, 185, LH, 8, 185, EH
5, 7, 319, EH, 450, 4, 319, EH, 4, 319, EH, 243, 5, 318, RH, 5, 318, EH
6, 3, 447, EH, 221, 2, 447, EH, 2, 447, EH, 441, 4, 431, RH, 2, 431, EH
7, 1, 31, EH, 120, 1, 31, EH, 1, 31, EH, 7, 6, 25, EH, 1, 25, EH
8, 0, 95, EH, 127, 3, 92, EH, 0, 92, EH, 258, 19, 92, EH, 0, 92, EH
9, 2, 159, EH, 10, 12, 159, EH, 3, 159, EH, 368, 13, 159, EH, 4, 159, LH
10, 5, 223, EH, 436, 14, 220, EH, 8, 220, EH, 276, 15, 220, EH, 3, 220, EH
11, 4, 287, EH, 385, 25, 282, RH, 6, 293, EH, 489, 22, 293, EH, 6, 293, EH
12, 6, 351, EH, 475, 19, 351, EH, 5, 351, EH, 167, 30, 351, EH, 7, 351, EH
13, 11, 415, EH, 13, 27, 411, EH, 7, 411, EH, 170, 29, 410, EH, 19, 410, LH
14, 9, 479, EH, 197, 43, 477, EH, 10, 477, LH, 113, 28, 477, LH, 15, 469, EH
15, 8, 15, EH, 37, 36, 15, LH, 9, 12, RH, 492, 50, 8, RH, 12, 8, RH
16, 10, 47, EH, 104, 35, 43, RH, 11, 50, LH, 109, 34, 30, RH, 10, 34, RH
17, 13, 79, EH, 128, 55, 77, EH, 25, 77, EH, 17, 32, 76, EH, 9, 76, EH
18, 12, 111, EH, 360, 52, 108, EH, 19, 108, EH, 286, 36, 101, LH, 11, 108, EH
19, 14, 143, EH, 83, 53, 143, EH, 15, 143, EH, 440, 53, 139, LH, 13, 139, EH
20, 23, 175, EH, 20, 59, 175, EH, 14, 175, LH, 20, 52, 171, RH, 14, 171, EH
21, 19, 207, EH, 34, 92, 203, RH, 13, 203, EH, 21, 92, 205, RH, 17, 205, EH
22, 17, 239, EH, 41, 77, 239, EH, 17, 239, EH, 474, 76, 238, EH, 16, 238, EH
23, 16, 271, EH, 371, 72, 269, LH, 16, 269, EH, 328, 67, 267, EH, 18, 273, EH
24, 18, 303, EH, 199, 68, 303, RH, 18, 303, RH, 24, 63, 309, EH, 21, 309, LH
25, 21, 335, EH, 468, 75, 332, EH, 23, 332, EH, 245, 62, 329, RH, 20, 329, RH
26, 20, 367, EH, 182, 74, 367, LH, 21, 367, EH, 152, 75, 367, EH, 23, 367, EH
27, 22, 399, EH, 456, 76, 399, EH, 20, 399, LH, 57, 86, 389, EH, 22, 399, LH
28, 27, 431, EH, 18, 86, 431, EH, 22, 431, EH, 141, 81, 419, EH, 24, 419, EH
29, 25, 463, EH, 29, 82, 460, EH, 24, 460, RH, 438, 78, 446, RH, 34, 452, EH
30, 24, 487, RH, 30, 81, 490, LH, 29, 490, EH, 80, 83, 488, LH, 30, 488, LH
31, 26, 7, EH, 206, 88, 4, EH, 27, 4, EH, 392, 87, 5, EH, 28, 5, LH
32, 29, 23, EH, 237, 108, 25, EH, 26, 25, LH, 273, 89, 19, LH, 27, 19, LH
33, 28, 39, EH, 497, 103, 36, LH, 28, 43, LH, 33, 101, 29, LH, 26, 30, LH
34, 30, 55, EH, 184, 99, 55, LH, 30, 53, RH, 209, 98, 50, EH, 29, 44, EH
35, 47, 71, EH, 339, 98, 72, RH, 50, 72, LH, 427, 95, 67, LH, 32, 67, EH
36, 39, 87, EH, 356, 105, 86, LH, 43, 82, RH, 18, 93, 86, EH, 31, 86, LH
37, 35, 103, EH, 412, 116, 103, LH, 36, 98, RH, 187, 96, 98, LH, 33, 101, LH
38, 33, 119, EH, 482, 114, 116, RH, 34, 116, EH, 1, 99, 121, EH, 44, 113, RH
39, 32, 135, EH, 492, 119, 133, RH, 32, 133, EH, 39, 121, 133, EH, 39, 133, LH
40, 34, 151, EH, 40, 118, 151, EH, 33, 151, RH, 215, 116, 149, EH, 36, 149, EH
41, 37, 167, EH, 66, 187, 167, RH, 35, 167, EH, 46, 122, 164, EH, 35, 164, EH
42, 36, 183, EH, 464, 159, 181, EH, 40, 181, EH, 256, 185, 181, LH, 38, 177, EH
43, 38, 199, EH, 8, 143, 194, EH, 38, 194, RH, 270, 159, 190, EH, 37, 195, EH
44, 43, 215, EH, 6, 133, 215, EH, 37, 211, EH, 289, 139, 211, RH, 42, 214, LH
45, 41, 231, EH, 71, 132, 231, LH, 39, 231, EH, 45, 133, 231, EH, 41, 231, LH
46, 40, 247, EH, 46, 139, 246, EH, 41, 248, LH, 470, 128, 248, EH, 40, 245, RH
47, 42, 263, EH, 32, 138, 263, LH, 42, 263, LH, 44, 126, 261, RH, 43, 261, RH
48, 45, 279, EH, 440, 142, 273, EH, 46, 282, EH, 61, 127, 290, LH, 50, 284, EH
49, 44, 295, EH, 398, 151, 299, EH, 45, 299, LH, 272, 130, 303, RH, 46, 303, LH
50, 46, 311, EH, 80, 149, 311, LH, 44, 311, LH, 236, 135, 314, LH, 45, 314, LH
51, 55, 327, EH, 307, 145, 327, RH, 48, 327, LH, 41, 134, 323, EH, 48, 323, EH
52, 51, 343, EH, 498, 150, 340, RH, 47, 340, EH, 38, 137, 340, RH, 47, 340, EH
53, 49, 359, EH, 70, 153, 359, RH, 49, 359, RH, 43, 136, 357, RH, 49, 357, RH
54, 48, 375, EH, 54, 157, 378, EH, 53, 378, LH, 97, 149, 378, RH, 52, 378, LH
55, 50, 391, EH, 335, 175, 389, EH, 52, 389, RH, 430, 147, 386, EH, 51, 389, RH
56, 53, 407, EH, 56, 167, 406, LH, 51, 406, EH, 56, 144, 399, EH, 53, 404, EH
57, 52, 423, EH, 57, 161, 423, EH, 57, 423, LH, 85, 148, 415, LH, 54, 415, LH
58, 54, 439, EH, 144, 170, 439, EH, 55, 439, EH, 183, 151, 423, EH, 92, 426, EH
59, 59, 455, EH, 200, 169, 453, EH, 54, 453, EH, 59, 150, 436, RH, 76, 446, LH
60, 57, 471, EH, 113, 174, 473, LH, 56, 467, RH, 60, 158, 460, RH, 67, 460, EH
61, 56, 483, EH, 5, 181, 487, LH, 59, 485, EH, 112, 171, 483, RH, 62, 477, EH
62, 58, 495, EH, 152, 179, 495, EH, 58, 495, EH, 111, 164, 493, EH, 59, 493, EH
63, 61, 3, EH, 317, 178, 2, EH, 60, 2, LH, 407, 161, 4, EH, 57, 2, EH
64, 60, 11, EH, 401, 180, 12, RH, 92, 8, EH, 64, 160, 6, EH, 56, 6, RH
65, 62, 19, EH, 65, 186, 19, EH, 77, 19, EH, 65, 163, 13, RH, 58, 15, LH
66, 95, 27, EH, 264, 185, 27, EH, 72, 29, LH, 275, 166, 22, EH, 60, 21, RH
67, 79, 35, EH, 67, 220, 35, EH, 68, 36, EH, 195, 169, 28, EH, 61, 28, LH
68, 71, 43, EH, 156, 203, 52, EMPTY, 64, 46, EH, 327, 181, 34, EMPTY, 64, 32, EH
69, 67, 51, EH, 290, 194, 59, RH, 62, 52, LH, 269, 179, 53, EH, 63, 39, EH
70, 65, 59, EH, 403, 192, 68, EH, 63, 57, EH, 70, 177, 63, LH, 65, 50, EH
71, 64, 67, EH, 28, 202, 75, EH, 66, 68, LH, 58, 178, 75, LH, 66, 62, EH
72, 66, 75, EH, 374, 215, 82, EH, 65, 75, LH, 72, 180, 81, EH, 72, 72, LH
73, 69, 83, EH, 286, 211, 88, LH, 67, 80, LH, 73, 184, 87, EH, 70, 81, EH
74, 68, 91, EH, 281, 208, 99, EH, 70, 86, RH, 217, 182, 95, RH, 69, 89, EH
75, 70, 99, EH, 16, 212, 105, LH, 69, 95, EH, 316, 220, 99, EH, 68, 96, RH
76, 75, 107, EH, 321, 219, 114, EH, 71, 103, EH, 71, 205, 116, EH, 71, 105, EH
77, 73, 115, EH, 147, 218, 119, EH, 75, 113, LH, 443, 190, 122, EH, 74, 111, LH
78, 72, 123, EH, 95, 239, 132, LH, 74, 119, RH, 306, 188, 128, EH, 73, 121, LH
79, 74, 131, EH, 23, 231, 139, EH, 73, 128, RH, 79, 193, 135, LH, 75, 128, RH
80, 77, 139, EH, 50, 229, 149, EH, 76, 139, LH, 405, 211, 147, RH, 86, 135, RH
81, 76, 147, EH, 125, 230, 153, EH, 82, 147, EH, 472, 210, 151, EH, 81, 144, EH
82, 78, 155, EH, 467, 233, 161, RH, 80, 156, LH, 463, 216, 161, EH, 79, 152, RH
83, 87, 163, EH, 73, 246, 170, EH, 78, 164, LH, 108, 212, 166, EH, 78, 161, RH
84, 83, 171, EH, 285, 244, 179, EH, 79, 170, RH, 466, 219, 179, RH, 77, 167, EH
85, 81, 179, EH, 44, 245, 186, EH, 81, 179, LH, 310, 238, 184, LH, 80, 174, EH
86, 80, 187, EH, 358, 249, 192, LH, 86, 185, LH, 103, 231, 188, LH, 84, 181, EH
87, 82, 195, EH, 87, 248, 202, EH, 84, 190, EH, 394, 224, 193, EH, 83, 190, EH
88, 85, 203, EH, 443, 383, 211, EH, 83, 199, LH, 140, 221, 210, EH, 82, 198, RH
89, 84, 211, EH, 131, 319, 219, EH, 85, 208, LH, 247, 227, 216, EH, 85, 211, LH
90, 86, 219, EH, 462, 282, 229, LH, 88, 215, RH, 90, 237, 224, EH, 89, 216, RH
91, 91, 227, EH, 247, 269, 233, RH, 87, 227, LH, 91, 235, 237, EH, 87, 224, RH
92, 89, 235, EH, 279, 263, 244, EH, 90, 234, RH, 287, 248, 241, LH, 88, 234, EH
93, 88, 243, EH, 93, 258, 249, RH, 89, 244, LH, 214, 241, 251, LH, 90, 241, EH
94, 90, 251, EH, 94, 257, 258, LH, 91, 251, EH, 66, 240, 259, RH, 91, 248, RH
95, 93, 259, EH, 316, 262, 268, EH, 108, 258, RH, 452, 251, 265, EH, 108, 258, EH
