item,ascending,descending,dfs,bfs,nlr,lrn,lnr,bfactor
-483, -483, 316, -81, -81, -81, -483, -483, EH
69, -475, 253, -367, -367, -367, -435, -475, LH
-81, -444, 230, -475, 138, -475, -444, -444, RH
230, -435, 153, -483, -475, -483, -475, -435, RH
138, -367, 138, -444, -140, -444, -282, -367, LH
-140, -282, 83, -435, 69, -435, -140, -282, RH
-367, -140, 69, -140, 253, -140, -367, -140, LH
316, -81, -81, -282, -483, -282, 83, -81, EH
253, 69, -140, 138, -444, 138, 69, 69, RH
-282, 83, -282, 69, -282, 69, 153, 83, EH
83, 138, -367, 83, 83, 83, 230, 138, EMPTY
153, 153, -435, 253, 230, 253, 316, 153, EMPTY
-475, 230, -444, 230, 316, 230, 253, 230, EH
-444, 253, -475, 153, -435, 153, 138, 253, LH
-435, 316, -483, 316, 153, 316, -81, 316, EH
None, None, None, None, None, None, None, None, EMPTY
None, None, None, None, None, None, None, None, EH
None, None, None, None, None, None, None, None, EH
None, None, None, None, None, None, None, None, EMPTY
