add,dfs0,bfs0,bfactor0,remove-then-add0,dfs1,bfs1,bfactor1,dfs2,bfs2,bfactor2,remove-then-add1,dfs3,bfs3,bfactor3,dfs4,bfs4,bfactor4
0, 127, 127, RH, 162, 126, 126, EH, 126, 126, EH, 184, 126, 126, EH, 126, 126, EH
1, 63, 63, EH, 212, 57, 57, RH, 57, 57, RH, 202, 79, 79, LH, 45, 45, RH
2, 31, 191, RH, 175, 31, 222, EH, 31, 222, LH, 278, 57, 221, EH, 24, 221, LH
3, 15, 31, EH, 97, 11, 31, RH, 11, 31, LH, 252, 24, 57, LH, 14, 24, LH
4, 7, 95, EH, 117, 5, 95, RH, 5, 95, LH, 227, 9, 103, EH, 9, 79, RH
5, 3, 159, EH, 3, 4, 191, EH, 3, 191, LH, 155, 6, 191, EH, 4, 168, RH
6, 1, 255, EH, 127, 8, 255, RH, 1, 255, EH, 293, 8, 249, EH, 2, 249, EH
7, 0, 15, EH, 285, 27, 11, EH, 0, 11, RH, 100, 17, 24, EH, 0, 14, LH
8, 2, 47, EH, 2, 26, 45, LH, 2, 45, EH, 0, 15, 70, EH, 1, 34, EH
9, 5, 79, EH, 266, 45, 79, EH, 4, 79, LH, 13, 14, 95, EH, 3, 65, EH
10, 4, 111, EH, 262, 38, 111, EH, 8, 111, EH, 198, 20, 107, RH, 6, 103, LH
11, 6, 143, EH, 214, 32, 157, EH, 6, 157, EH, 264, 45, 156, EH, 5, 142, EH
12, 11, 175, EH, 12, 36, 207, LH, 7, 207, EH, 12, 41, 206, RH, 8, 191, EH
13, 9, 223, EH, 24, 41, 237, RH, 10, 237, EH, 247, 38, 236, RH, 7, 236, EH
14, 8, 271, RH, 223, 44, 278, EH, 9, 278, EH, 147, 48, 287, LH, 12, 276, EH
15, 10, 7, EH, 15, 49, 5, EH, 21, 5, EH, 19, 46, 9, RH, 11, 9, LH
16, 13, 23, EH, 171, 46, 27, LH, 17, 21, EH, 34, 52, 45, RH, 10, 20, LH
17, 12, 39, EH, 185, 95, 38, EH, 15, 38, EH, 84, 51, 62, EH, 13, 30, LH
18, 14, 55, EH, 153, 79, 49, LH, 13, 49, RH, 257, 70, 76, EH, 20, 41, LH
19, 23, 71, EH, 298, 70, 70, RH, 12, 70, LH, 273, 62, 89, EH, 17, 57, EH
20, 19, 87, EH, 110, 65, 85, EH, 14, 85, RH, 254, 59, 98, RH, 15, 70, RH
21, 17, 103, EH, 203, 77, 103, RH, 16, 103, LH, 26, 58, 105, LH, 16, 89, RH
22, 16, 119, EH, 290, 76, 123, LH, 19, 117, RH, 22, 65, 120, EH, 19, 115, EH
23, 18, 135, EH, 297, 85, 143, EH, 18, 135, RH, 5, 63, 142, LH, 18, 132, RH
24, 21, 151, EH, 39, 83, 174, EH, 20, 174, EH, 50, 69, 168, LH, 22, 156, EH
25, 20, 167, EH, 116, 80, 198, LH, 26, 198, RH, 25, 76, 197, EH, 21, 182, LH
26, 22, 183, EH, 264, 84, 215, EH, 23, 215, LH, 11, 73, 213, RH, 23, 206, LH
27, 27, 207, EH, 100, 87, 226, EH, 22, 232, LH, 27, 74, 231, EH, 34, 228, RH
28, 25, 239, EH, 231, 86, 246, EH, 24, 246, EH, 125, 77, 241, RH, 30, 241, RH
29, 24, 263, EH, 55, 89, 268, LH, 25, 268, EH, 67, 78, 276, EH, 26, 261, EH
30, 26, 287, EH, 48, 111, 287, EH, 28, 287, EH, 30, 103, 291, EH, 25, 287, EH
31, 29, 3, EH, 140, 103, 4, EH, 27, 3, LH, 162, 95, 6, RH, 28, 4, EH
32, 28, 11, EH, 244, 98, 8, EH, 29, 8, EH, 158, 89, 17, LH, 27, 12, LH
33, 30, 19, EH, 33, 102, 26, EH, 30, 17, LH, 33, 85, 41, LH, 29, 17, EH
34, 47, 27, EH, 164, 107, 32, EMPTY, 45, 26, EH, 258, 80, 48, RH, 32, 22, EH
35, 39, 35, EH, 202, 105, 41, RH, 38, 35, EH, 110, 87, 59, LH, 31, 26, RH
36, 35, 43, EH, 219, 104, 46, RH, 35, 41, EH, 36, 93, 65, EH, 33, 32, EH
37, 33, 51, EH, 37, 106, 65, EH, 33, 47, EH, 153, 92, 73, RH, 41, 38, EH
38, 32, 59, EH, 28, 109, 77, EMPTY, 32, 53, EH, 181, 98, 77, RH, 38, 43, EH
39, 34, 67, EH, 158, 123, 83, EH, 34, 65, LH, 75, 96, 85, EH, 36, 52, EH
40, 37, 75, EH, 40, 113, 87, LH, 36, 76, LH, 283, 101, 93, LH, 35, 62, LH
41, 36, 83, EH, 201, 112, 98, EH, 37, 83, LH, 196, 99, 96, EH, 37, 67, RH
42, 38, 91, EH, 236, 121, 107, EH, 41, 89, RH, 42, 107, 101, LH, 40, 76, LH
43, 43, 99, EH, 43, 122, 113, RH, 39, 98, RH, 43, 105, 104, EH, 39, 85, LH
44, 41, 107, EH, 235, 125, 125, LH, 40, 107, EH, 295, 104, 115, EMPTY, 43, 95, RH
45, 40, 115, EH, 173, 124, 135, RH, 43, 113, RH, 230, 120, 123, RH, 42, 107, RH
46, 42, 123, EH, 67, 222, 148, LH, 42, 123, LH, 237, 115, 132, LH, 44, 120, EH
47, 45, 131, EH, 251, 191, 166, LH, 44, 129, RH, 47, 118, 149, EH, 79, 128, RH
48, 44, 139, EH, 276, 157, 183, RH, 49, 143, EH, 117, 123, 165, EH, 65, 135, RH
49, 46, 147, EH, 292, 143, 195, EH, 47, 166, EH, 121, 122, 173, LH, 57, 149, EH
50, 55, 155, EH, 224, 135, 200, EH, 46, 183, EH, 113, 221, 193, EH, 52, 162, EH
51, 51, 163, EH, 71, 130, 209, EH, 48, 195, EH, 40, 191, 204, EH, 48, 173, RH
52, 49, 171, EH, 265, 129, 217, RH, 53, 201, RH, 31, 156, 211, RH, 46, 186, RH
53, 48, 179, EH, 138, 142, 225, LH, 51, 212, LH, 226, 142, 219, EH, 47, 197, RH
54, 50, 187, EH, 213, 148, 229, EH, 50, 219, EH, 54, 132, 228, LH, 50, 213, EH
55, 53, 199, EH, 22, 147, 242, EH, 52, 226, RH, 138, 131, 234, EH, 49, 224, EH
56, 52, 215, EH, 56, 151, 253, EH, 55, 235, LH, 128, 127, 240, EH, 51, 231, RH
