add,dfs0,bfs0,bfactor0,remove-then-add0,dfs1,bfs1,bfactor1,dfs2,bfs2,bfactor2,remove-then-add1,dfs3,bfs3,bfactor3,dfs4,bfs4,bfactor4
0, 255, 255, RH, 361, 509, 509, LH, 375, 375, EH, 241, 375, 375, RH, 375, 375, EH
1, 127, 127, EH, 114, 254, 254, RH, 191, 191, EH, 1, 186, 186, EH, 186, 186, EH
2, 63, 511, EH, 656, 126, 574, RH, 126, 509, RH, 445, 125, 509, RH, 95, 509, RH
3, 31, 63, EH, 406, 61, 126, EH, 61, 126, LH, 3, 55, 125, EH, 55, 95, EH
4, 15, 191, EH, 366, 31, 375, RH, 31, 254, RH, 538, 26, 283, EH, 26, 283, EH
5, 7, 383, EH, 459, 14, 543, EH, 14, 447, EH, 103, 11, 447, RH, 11, 447, EH
6, 3, 575, RH, 6, 3, 639, EH, 8, 606, EH, 683, 7, 603, EH, 4, 603, EH
7, 1, 31, EH, 322, 0, 61, EH, 3, 61, EH, 189, 4, 55, EH, 2, 55, EH
8, 0, 95, EH, 187, 10, 191, EH, 1, 157, EH, 8, 2, 152, RH, 1, 125, RH
9, 2, 159, EH, 9, 8, 319, EH, 0, 222, EH, 481, 5, 235, EH, 0, 235, EH
10, 5, 223, EH, 168, 12, 447, EH, 2, 319, EH, 535, 10, 318, EH, 3, 318, RH
11, 4, 319, EH, 571, 19, 525, RH, 6, 402, EH, 403, 9, 422, EH, 7, 422, EH
12, 6, 447, EH, 544, 17, 559, RH, 5, 478, EH, 417, 19, 477, RH, 5, 477, EH
13, 11, 543, EH, 132, 18, 606, EH, 4, 543, RH, 233, 16, 543, RH, 6, 559, EH
14, 9, 639, EH, 610, 21, 671, LH, 7, 639, RH, 170, 21, 639, RH, 9, 668, LH
15, 8, 15, EH, 45, 20, 31, EH, 10, 31, EH, 685, 46, 26, EH, 8, 26, EH
16, 10, 47, EH, 65, 27, 95, EH, 9, 95, EH, 676, 35, 95, RH, 10, 80, LH
17, 13, 79, EH, 665, 46, 157, EH, 12, 142, RH, 123, 32, 142, LH, 19, 112, LH
18, 12, 111, EH, 491, 36, 222, EH, 11, 175, EH, 697, 34, 175, LH, 16, 152, EH
19, 14, 143, EH, 216, 33, 285, EH, 13, 207, EH, 238, 41, 221, LH, 13, 206, RH
20, 23, 175, EH, 358, 35, 357, EH, 21, 238, EH, 80, 54, 254, EH, 12, 254, RH
21, 19, 207, EH, 227, 42, 431, LH, 17, 285, EH, 688, 49, 300, LH, 14, 300, EH
22, 17, 239, EH, 627, 43, 478, EH, 16, 343, EH, 22, 95, 343, EH, 15, 343, EH
23, 16, 287, EH, 146, 55, 514, RH, 15, 387, RH, 153, 70, 400, EH, 17, 400, EH
24, 18, 351, EH, 519, 50, 533, EH, 19, 423, EH, 18, 67, 437, EH, 18, 437, LH
25, 21, 415, EH, 415, 49, 553, EH, 18, 463, EH, 52, 62, 454, EH, 22, 461, RH
26, 20, 479, EH, 59, 51, 566, LH, 20, 492, EH, 465, 84, 491, RH, 21, 491, EH
27, 22, 527, EH, 151, 58, 591, LH, 27, 525, EH, 604, 74, 525, EH, 20, 543, LH
28, 27, 559, EH, 28, 95, 623, RH, 23, 574, EH, 28, 85, 573, RH, 24, 580, RH
29, 25, 607, EH, 379, 77, 655, EH, 22, 623, EH, 29, 107, 623, EH, 23, 639, EH
30, 24, 671, EH, 30, 69, 687, EH, 25, 671, EH, 133, 99, 668, LH, 25, 687, LH
31, 26, 7, EH, 200, 68, 14, EH, 24, 14, EH, 17, 97, 11, LH, 40, 11, RH
32, 29, 23, EH, 520, 73, 46, EH, 26, 46, EH, 353, 100, 46, LH, 35, 40, EH
33, 28, 39, EH, 625, 72, 77, LH, 29, 72, RH, 459, 119, 70, EH, 32, 70, LH
34, 30, 55, EH, 34, 91, 107, EH, 28, 117, LH, 669, 116, 107, RH, 29, 86, RH
35, 47, 71, EH, 269, 84, 142, LH, 30, 134, EH, 647, 109, 135, RH, 28, 107, LH
36, 39, 87, EH, 220, 92, 175, EH, 46, 149, RH, 36, 121, 147, RH, 27, 119, EH
37, 35, 103, EH, 399, 107, 207, RH, 41, 165, RH, 213, 120, 165, EH, 30, 142, LH
38, 33, 119, EH, 259, 101, 238, EH, 36, 184, LH, 38, 122, 180, LH, 31, 171, EH
39, 32, 135, EH, 25, 99, 271, EH, 34, 201, LH, 169, 152, 206, EH, 34, 196, EH
40, 34, 151, EH, 504, 100, 301, EH, 33, 215, LH, 40, 142, 229, LH, 33, 221, RH
41, 37, 167, EH, 41, 102, 351, LH, 32, 230, EH, 220, 135, 247, RH, 38, 247, LH
42, 36, 183, EH, 408, 121, 363, RH, 35, 245, RH, 56, 134, 268, LH, 36, 268, EH
43, 38, 199, EH, 359, 119, 412, RH, 38, 271, EH, 112, 138, 295, LH, 37, 292, EH
44, 43, 215, EH, 44, 117, 439, RH, 37, 301, EH, 549, 137, 312, EH, 39, 306, RH
45, 41, 231, EH, 332, 120, 463, LH, 40, 334, LH, 382, 147, 332, LH, 46, 332, LH
46, 40, 247, EH, 272, 123, 492, LH, 39, 357, EH, 144, 148, 363, EH, 43, 363, LH
47, 42, 271, EH, 47, 124, 513, EH, 43, 381, EH, 240, 175, 386, EH, 41, 386, EH
48, 45, 303, EH, 257, 191, 518, LH, 42, 395, LH, 506, 165, 408, EH, 42, 408, EH
49, 44, 335, EH, 599, 157, 531, LH, 45, 412, EH, 598, 163, 433, EH, 44, 431, LH
50, 46, 367, EH, 510, 142, 537, RH, 44, 434, EH, 263, 158, 439, RH, 45, 444, LH
51, 55, 399, EH, 501, 134, 550, EH, 55, 454, RH, 360, 162, 450, RH, 49, 454, EH
52, 51, 431, EH, 281, 133, 555, LH, 50, 470, RH, 660, 164, 461, EH, 48, 468, RH
53, 49, 463, EH, 602, 138, 562, RH, 48, 487, LH, 48, 171, 482, EH, 47, 482, RH
54, 48, 495, EH, 675, 137, 570, LH, 47, 499, RH, 140, 168, 499, LH, 52, 499, RH
55, 50, 519, EH, 53, 141, 582, RH, 49, 518, LH, 201, 173, 517, RH, 50, 525, EH
56, 53, 535, EH, 521, 149, 595, EH, 52, 533, EH, 301, 174, 533, RH, 51, 553, LH
57, 52, 551, EH, 429, 147, 614, EH, 51, 559, LH, 68, 180, 559, EH, 54, 573, LH
58, 54, 567, EH, 689, 153, 630, RH, 53, 591, LH, 71, 177, 590, LH, 53, 590, RH
59, 59, 591, EH, 417, 175, 644, RH, 54, 614, EH, 59, 176, 614, RH, 80, 623, EH
60, 57, 623, EH, 684, 171, 663, LH, 58, 630, RH, 378, 183, 630, EH, 70, 654, EH
61, 56, 655, EH, 618, 165, 677, RH, 57, 655, LH, 548, 283, 654, EH, 62, 679, EH
62, 58, 687, EH, 455, 160, 693, RH, 56, 687, LH, 195, 235, 687, EH, 59, 693, EH
63, 61, 3, EH, 180, 169, 3, RH, 59, 8, LH, 63, 221, 7, EH, 57, 4, EH
64, 60, 11, EH, 334, 173, 19, EH, 60, 21, RH, 64, 206, 19, EH, 56, 19, LH
65, 62, 19, EH, 16, 172, 36, EH, 95, 41, LH, 658, 196, 35, LH, 58, 35, LH
