add,dfs0,bfs0,bfactor0,remove-then-add0,dfs1,bfs1,bfactor1,dfs2,bfs2,bfactor2,remove-then-add1,dfs3,bfs3,bfactor3,dfs4,bfs4,bfactor4
0, 127, 127, EH, 1, 127, 127, EH, 127, 127, LH, 42, 124, 124, EH, 59, 59, RH
1, 63, 63, EH, 6, 60, 60, EH, 60, 60, EH, 186, 75, 75, EH, 18, 18, RH
2, 31, 159, RH, 82, 23, 159, EH, 23, 159, EH, 168, 59, 159, EH, 5, 124, EH
3, 15, 31, EH, 189, 12, 23, EH, 12, 23, RH, 149, 18, 59, EH, 2, 5, RH
4, 7, 95, EH, 48, 7, 95, EH, 7, 95, EH, 195, 5, 93, EH, 0, 39, EH
5, 3, 143, EH, 5, 3, 139, EH, 3, 139, RH, 125, 2, 137, RH, 1, 93, EH
6, 1, 175, RH, 190, 0, 175, EH, 1, 175, EH, 6, 0, 172, RH, 3, 159, EH
7, 0, 15, EH, 142, 10, 12, EH, 0, 12, EH, 132, 3, 18, EH, 4, 2, EH
8, 2, 47, EH, 8, 18, 27, RH, 2, 39, EH, 8, 12, 67, LH, 12, 12, EH
9, 5, 79, EH, 140, 17, 75, LH, 5, 75, RH, 31, 9, 81, RH, 8, 31, EH
10, 4, 111, EH, 167, 16, 117, EH, 4, 117, LH, 86, 13, 111, EH, 6, 49, EH
11, 6, 135, EH, 61, 21, 132, LH, 6, 132, EH, 23, 39, 131, EH, 7, 75, EH
12, 11, 151, EH, 197, 20, 150, LH, 10, 147, EH, 182, 34, 147, LH, 10, 111, LH
13, 9, 167, EH, 62, 27, 165, RH, 8, 165, RH, 68, 33, 165, EH, 9, 137, RH
14, 8, 191, EH, 41, 26, 183, EH, 9, 191, EH, 14, 37, 189, EH, 11, 179, EH
15, 10, 7, EH, 57, 24, 7, LH, 11, 7, EH, 20, 49, 5, EH, 14, 0, RH
16, 13, 23, EH, 188, 47, 18, EH, 18, 18, EH, 43, 41, 39, EH, 13, 3, RH
17, 12, 39, EH, 162, 39, 26, LH, 16, 32, LH, 17, 54, 63, RH, 16, 8, EH
18, 14, 55, EH, 184, 32, 47, EH, 14, 47, RH, 73, 67, 70, EH, 15, 14, RH
19, 23, 71, EH, 25, 43, 70, EH, 13, 68, EH, 1, 63, 77, EH, 17, 25, EH
20, 19, 87, EH, 93, 50, 83, RH, 15, 83, RH, 15, 62, 91, LH, 39, 36, LH
21, 17, 103, EH, 163, 58, 109, LH, 17, 106, EH, 38, 66, 104, EH, 31, 43, RH
22, 16, 119, EH, 22, 95, 123, EH, 21, 123, LH, 4, 65, 121, LH, 25, 54, EH
23, 18, 131, EH, 63, 75, 129, RH, 20, 129, RH, 45, 70, 129, EH, 21, 67, RH
24, 21, 139, EH, 126, 70, 137, EH, 19, 136, EH, 24, 69, 135, EH, 20, 81, RH
25, 20, 147, EH, 77, 68, 147, RH, 22, 144, LH, 55, 72, 142, LH, 19, 104, LH
26, 22, 155, EH, 143, 64, 152, RH, 39, 152, EH, 171, 93, 157, EH, 23, 118, EH
27, 27, 163, EH, 134, 69, 164, LH, 32, 162, EH, 161, 81, 163, LH, 22, 131, EH
28, 25, 171, EH, 28, 74, 170, LH, 27, 170, EH, 28, 77, 169, LH, 24, 147, EH
29, 24, 183, EH, 186, 72, 179, EH, 25, 183, EH, 29, 76, 179, EH, 28, 168, EH
30, 26, 195, RH, 119, 83, 191, EH, 24, 194, RH, 145, 78, 194, LH, 26, 189, EH
31, 29, 3, EH, 156, 91, 3, LH, 26, 3, EH, 30, 91, 2, EH, 27, 1, EMPTY
32, 28, 11, EH, 81, 117, 10, EH, 29, 10, LH, 80, 88, 12, EH, 29, 4, EH
33, 30, 19, EH, 101, 109, 17, LH, 28, 16, LH, 144, 84, 34, EH, 30, 6, EMPTY
34, 47, 27, EH, 34, 102, 21, LH, 31, 21, LH, 50, 92, 49, EH, 36, 10, EH
35, 39, 35, EH, 92, 99, 24, EH, 30, 27, RH, 151, 111, 62, EH, 34, 13, RH
36, 35, 43, EH, 56, 106, 39, EMPTY, 35, 35, EH, 36, 104, 66, LH, 33, 16, EH
37, 33, 51, EH, 37, 114, 50, EH, 34, 43, EH, 26, 98, 69, EH, 32, 21, EH
38, 32, 59, EH, 86, 123, 68, RH, 33, 52, EH, 87, 103, 72, EH, 35, 28, EH
39, 34, 67, EH, 151, 121, 74, EH, 37, 64, EH, 16, 106, 76, EH, 37, 34, EH
40, 37, 75, EH, 155, 120, 91, LH, 36, 72, EH, 40, 105, 78, EH, 38, 37, EH
41, 36, 83, EH, 193, 125, 102, EMPTY, 38, 79, EH, 7, 110, 88, LH, 49, 41, LH
42, 38, 91, EH, 31, 124, 114, EH, 47, 88, EH, 71, 121, 92, EH, 43, 45, RH
43, 43, 99, EH, 38, 159, 121, EH, 43, 102, LH, 174, 116, 98, RH, 41, 51, EH
44, 41, 107, EH, 44, 139, 125, EH, 41, 112, EH, 44, 119, 106, EH, 40, 56, RH
45, 40, 115, EH, 153, 132, 128, LH, 40, 120, EH, 11, 122, 116, RH, 42, 63, RH
46, 42, 123, EH, 199, 129, 131, LH, 42, 125, EH, 155, 159, 122, EH, 45, 70, RH
47, 45, 129, EH, 158, 128, 136, EH, 45, 128, EH, 96, 137, 128, EH, 44, 77, EH
