add,dfs0,bfs0,bfactor0,remove-then-add0,dfs1,bfs1,bfactor1,dfs2,bfs2,bfactor2,remove-then-add1,dfs3,bfs3,bfactor3,dfs4,bfs4,bfactor4
0, 511, 511, EH, 827, 511, 511, EH, 511, 511, EH, 61, 510, 510, EH, 510, 510, LH
1, 255, 255, EH, 336, 254, 254, LH, 254, 254, EH, 899, 254, 254, EH, 254, 254, EH
2, 127, 767, EH, 128, 124, 766, EH, 124, 766, EH, 2, 123, 765, EH, 123, 765, EH
3, 63, 127, EH, 588, 62, 124, LH, 62, 124, EH, 81, 59, 123, EH, 59, 123, RH
4, 31, 383, EH, 182, 30, 382, EH, 30, 382, EH, 4, 27, 382, EH, 27, 382, LH
5, 15, 639, EH, 5, 15, 639, EH, 15, 639, EH, 170, 13, 637, EH, 13, 637, EH
6, 7, 895, EH, 499, 4, 895, EH, 4, 895, EH, 769, 6, 895, LH, 5, 895, EH
7, 3, 63, EH, 585, 1, 62, RH, 1, 62, EH, 147, 5, 59, LH, 3, 59, EH
8, 1, 191, EH, 992, 9, 190, EH, 0, 190, EH, 434, 3, 188, LH, 1, 188, RH
9, 0, 319, EH, 899, 8, 319, EH, 2, 319, EH, 205, 10, 319, LH, 0, 319, LH
10, 2, 447, EH, 701, 18, 443, EH, 3, 443, EH, 815, 24, 443, LH, 2, 443, EH
11, 5, 575, EH, 11, 17, 571, RH, 8, 571, EH, 447, 23, 569, RH, 4, 569, EH
12, 4, 703, EH, 133, 29, 700, LH, 6, 700, EH, 881, 26, 699, EH, 9, 699, EH
13, 6, 831, EH, 617, 27, 829, RH, 5, 829, EH, 688, 42, 829, EH, 7, 829, EH
14, 11, 959, EH, 240, 52, 959, LH, 7, 959, LH, 14, 36, 958, EH, 6, 943, LH
15, 9, 31, EH, 198, 44, 30, LH, 11, 30, EH, 366, 31, 27, RH, 8, 27, RH
16, 8, 95, EH, 910, 39, 94, LH, 9, 94, EH, 908, 35, 86, EH, 11, 86, EH
17, 10, 159, EH, 777, 49, 158, EH, 10, 158, EH, 508, 39, 157, RH, 10, 157, EH
18, 13, 223, EH, 22, 60, 222, EH, 13, 222, EH, 736, 52, 239, LH, 12, 231, LH
19, 12, 287, EH, 0, 58, 279, EH, 12, 279, EH, 333, 49, 275, RH, 21, 291, LH
20, 14, 351, EH, 583, 61, 351, EH, 14, 351, EH, 377, 46, 349, EH, 17, 349, EH
21, 23, 415, EH, 872, 94, 413, EH, 22, 413, EH, 491, 48, 411, RH, 15, 411, EH
22, 19, 479, EH, 356, 79, 487, EH, 18, 487, LH, 520, 51, 476, EH, 14, 476, EH
23, 17, 543, EH, 281, 71, 541, EH, 17, 541, EH, 440, 55, 555, LH, 16, 541, EH
24, 16, 607, EH, 951, 66, 607, EH, 16, 607, EH, 28, 53, 606, LH, 19, 606, EH
25, 18, 671, EH, 664, 65, 671, EH, 20, 671, EH, 761, 56, 671, RH, 18, 671, EH
26, 21, 735, EH, 26, 70, 734, EH, 19, 734, EH, 211, 86, 733, LH, 20, 733, EH
27, 20, 799, EH, 208, 74, 799, EH, 21, 799, EH, 340, 71, 799, LH, 24, 799, EH
28, 22, 863, EH, 28, 73, 861, LH, 27, 861, EH, 306, 66, 859, EH, 23, 859, EH
29, 27, 927, EH, 76, 72, 927, EH, 24, 927, EH, 250, 64, 926, EH, 22, 926, LH
30, 25, 975, RH, 536, 78, 975, RH, 23, 975, EH, 981, 63, 972, RH, 26, 972, EH
31, 24, 15, EH, 132, 90, 15, EH, 26, 15, EH, 371, 68, 13, LH, 25, 13, EH
32, 26, 47, EH, 418, 82, 52, EH, 25, 52, LH, 32, 67, 42, RH, 49, 49, LH
33, 29, 79, EH, 283, 88, 79, LH, 29, 79, EH, 729, 78, 71, EH, 42, 71, RH
34, 28, 111, EH, 873, 93, 110, EH, 28, 110, EH, 714, 72, 110, EH, 35, 110, LH
35, 30, 143, EH, 256, 110, 142, RH, 52, 142, EH, 906, 76, 142, RH, 31, 142, EH
36, 47, 175, EH, 36, 103, 173, EH, 44, 173, EH, 240, 82, 173, RH, 29, 173, EH
37, 39, 207, EH, 593, 97, 206, LH, 36, 201, RH, 526, 80, 216, RH, 28, 205, RH
38, 35, 239, EH, 167, 99, 239, EH, 32, 239, EH, 482, 110, 246, RH, 30, 239, RH
39, 33, 271, EH, 722, 104, 270, LH, 31, 270, LH, 602, 100, 267, EH, 33, 267, RH
40, 32, 303, EH, 40, 108, 287, EH, 34, 297, EH, 40, 98, 291, RH, 32, 304, RH
41, 34, 335, EH, 504, 119, 335, EH, 33, 335, EH, 354, 96, 331, EH, 34, 331, RH
42, 37, 367, EH, 68, 118, 366, RH, 35, 366, EH, 17, 103, 365, EH, 39, 365, EH
43, 36, 399, EH, 43, 121, 401, EH, 40, 401, LH, 190, 102, 398, EH, 37, 398, LH
44, 38, 431, EH, 968, 120, 426, EH, 38, 426, RH, 840, 106, 424, RH, 36, 424, RH
45, 43, 463, EH, 83, 190, 467, LH, 37, 467, EH, 820, 114, 465, EH, 38, 465, LH
46, 41, 495, EH, 743, 158, 495, EH, 39, 501, EH, 524, 111, 487, EH, 40, 487, RH
47, 40, 527, EH, 273, 142, 526, EH, 42, 526, RH, 656, 121, 541, EH, 41, 523, RH
48, 42, 559, EH, 670, 134, 555, LH, 41, 555, RH, 790, 120, 563, LH, 46, 555, LH
49, 45, 591, EH, 737, 129, 591, RH, 43, 591, EH, 901, 188, 581, RH, 44, 591, EH
50, 44, 623, EH, 379, 137, 623, EH, 49, 623, LH, 925, 157, 622, EH, 43, 622, EH
51, 46, 655, EH, 23, 150, 655, RH, 47, 655, LH, 252, 142, 655, LH, 45, 655, EH
52, 55, 687, EH, 471, 146, 686, RH, 46, 686, RH, 285, 127, 686, LH, 48, 686, LH
53, 51, 719, EH, 408, 144, 715, EH, 45, 715, RH, 679, 126, 715, EH, 47, 715, EH
54, 49, 751, EH, 913, 148, 751, EH, 48, 751, LH, 759, 133, 750, EH, 52, 750, LH
55, 48, 783, EH, 678, 152, 778, EH, 51, 778, RH, 242, 153, 788, LH, 51, 778, RH
56, 50, 815, EH, 802, 156, 813, EH, 50, 813, RH, 282, 143, 813, RH, 50, 819, LH
57, 53, 847, EH, 792, 173, 846, EH, 58, 846, EH, 57, 151, 846, RH, 55, 846, LH
58, 52, 879, EH, 866, 163, 879, EH, 56, 879, EH, 58, 155, 877, EH, 53, 877, EH
59, 54, 911, EH, 59, 160, 911, EH, 54, 911, EH, 87, 156, 911, EH, 54, 911, EH
60, 59, 943, EH, 56, 166, 943, LH, 53, 943, EH, 599, 173, 943, EH, 57, 934, EH
61, 57, 967, EH, 710, 164, 967, EH, 55, 967, EH, 160, 166, 965, LH, 56, 958, EH
62, 56, 991, EH, 672, 170, 983, RH, 57, 991, EH, 601, 164, 987, EH, 58, 987, EH
63, 58, 7, EH, 63, 183, 4, RH, 60, 4, RH, 138, 165, 6, LH, 86, 5, EH
64, 61, 23, EH, 21, 177, 18, RH, 59, 22, RH, 509, 172, 24, EH, 71, 21, EH
65, 60, 39, EH, 224, 181, 44, EH, 61, 44, EH, 546, 180, 36, LH, 66, 42, LH
66, 62, 55, EH, 995, 185, 60, EH, 94, 58, LH, 232, 176, 52, LH, 63, 52, RH
67, 95, 71, EH, 831, 184, 71, RH, 79, 71, EH, 261, 174, 66, EH, 61, 66, EH
68, 79, 87, EH, 368, 222, 90, LH, 71, 88, LH, 405, 179, 78, EH, 60, 81, LH
69, 71, 103, EH, 341, 206, 103, EH, 66, 103, LH, 419, 185, 100, EH, 62, 96, EH
70, 67, 119, EH, 480, 201, 119, RH, 64, 119, LH, 175, 184, 114, RH, 64, 117, EH
71, 65, 135, EH, 350, 195, 134, EH, 63, 133, EH, 711, 187, 127, EH, 65, 133, EH
72, 64, 151, EH, 641, 200, 150, EH, 65, 150, RH, 116, 186, 153, EH, 68, 147, RH
73, 66, 167, EH, 276, 203, 163, RH, 68, 166, LH, 514, 239, 166, LH, 67, 166, LH
74, 69, 183, EH, 716, 202, 183, EH, 67, 183, LH, 286, 216, 180, RH, 70, 180, RH
75, 68, 199, EH, 197, 205, 201, EH, 70, 195, EH, 75, 212, 212, EH, 69, 198, LH
76, 70, 215, EH, 947, 215, 215, EH, 69, 213, EH, 708, 198, 231, EH, 81, 216, RH
77, 75, 231, EH, 691, 213, 229, EH, 74, 229, RH, 243, 213, 245, EH, 78, 236, LH
78, 73, 247, EH, 957, 219, 247, LH, 73, 247, LH, 44, 231, 249, LH, 75, 246, RH
79, 72, 263, EH, 363, 239, 265, LH, 72, 263, LH, 79, 229, 262, LH, 73, 262, LH
80, 74, 279, EH, 2, 229, 277, EH, 77, 276, LH, 60, 223, 270, LH, 72, 275, RH
81, 77, 295, EH, 572, 226, 285, LH, 76, 287, EH, 910, 236, 287, EH, 74, 297, EH
82, 76, 311, EH, 894, 225, 300, EH, 75, 305, EH, 224, 237, 297, RH, 76, 310, RH
83, 78, 327, EH, 512, 228, 327, LH, 78, 324, RH, 484, 246, 327, LH, 77, 325, EH
84, 87, 343, EH, 399, 234, 342, EH, 88, 342, RH, 658, 245, 338, RH, 80, 342, LH
85, 83, 359, EH, 596, 238, 359, EH, 83, 359, LH, 512, 249, 359, LH, 79, 358, LH
86, 81, 375, EH, 977, 247, 373, RH, 81, 373, RH, 298, 248, 375, RH, 83, 371, RH
87, 80, 391, EH, 835, 242, 398, LH, 80, 391, EH, 844, 382, 388, RH, 82, 391, LH
88, 82, 407, EH, 922, 245, 404, EH, 82, 407, EH, 490, 319, 406, RH, 85, 406, EH
89, 85, 423, EH, 720, 250, 423, EH, 86, 420, EH, 50, 275, 420, EH, 84, 418, EH
90, 84, 439, EH, 317, 382, 439, RH, 84, 433, RH, 90, 267, 433, EH, 110, 433, EH
91, 86, 455, EH, 313, 319, 459, RH, 85, 452, EH, 91, 262, 449, EH, 96, 453, EH
92, 91, 471, EH, 961, 279, 485, RH, 87, 480, LH, 92, 257, 472, LH, 91, 472, LH
93, 89, 487, EH, 804, 270, 491, EH, 92, 495, EH, 15, 255, 480, RH, 89, 482, EH
94, 88, 503, EH, 561, 265, 501, EH, 90, 508, LH, 827, 259, 499, EH, 87, 499, EH
95, 90, 519, EH, 444, 263, 519, LH, 89, 519, EH, 758, 266, 530, EH, 88, 516, EH
96, 93, 535, EH, 650, 264, 535, LH, 91, 535, LH, 93, 270, 552, LH, 90, 532, EH
97, 92, 551, EH, 881, 269, 552, LH, 93, 549, EH, 122, 269, 560, LH, 93, 546, RH
98, 94, 567, EH, 388, 277, 565, LH, 110, 563, RH, 117, 268, 564, EH, 92, 563, EH
99, 111, 583, EH, 685, 274, 582, EH, 103, 582, EH, 544, 271, 577, EH, 94, 581, EH
100, 103, 599, EH, 100, 278, 595, RH, 99, 600, LH, 109, 291, 591, EH, 95, 598, RH
101, 99, 615, EH, 513, 287, 615, RH, 97, 615, EH, 101, 287, 618, LH, 103, 614, LH
102, 97, 631, EH, 102, 285, 631, LH, 95, 631, EH, 662, 280, 627, EH, 100, 627, RH
103, 96, 647, EH, 808, 280, 651, RH, 96, 644, RH, 479, 284, 648, EH, 98, 648, LH
104, 98, 663, EH, 997, 284, 663, LH, 98, 663, EH, 678, 289, 668, EH, 97, 662, RH
105, 101, 679, EH, 32, 286, 679, EH, 101, 679, EH, 831, 288, 677, RH, 99, 680, LH
106, 100, 695, EH, 141, 300, 695, LH, 100, 695, LH, 227, 290, 691, RH, 102, 691, EH
107, 102, 711, EH, 107, 297, 708, EH, 102, 708, EH, 107, 297, 707, EH, 101, 707, EH
108, 107, 727, EH, 656, 290, 727, EH, 107, 727, LH, 527, 294, 727, EH, 107, 727, LH
109, 105, 743, EH, 109, 299, 746, EH, 105, 746, LH, 208, 293, 743, EH, 105, 740, RH
110, 104, 759, EH, 527, 305, 759, EH, 104, 759, EH, 104, 309, 757, EH, 104, 757, EH
111, 106, 775, EH, 111, 312, 770, RH, 106, 772, EH, 738, 304, 778, EH, 106, 772, EH
112, 109, 791, EH, 6, 351, 790, EH, 108, 790, EH, 112, 303, 794, LH, 109, 788, EH
113, 108, 807, EH, 113, 335, 803, EH, 109, 807, EH, 897, 307, 805, EH, 108, 813, LH
114, 110, 823, EH, 575, 327, 823, EH, 119, 823, LH, 952, 316, 823, EH, 117, 823, RH
115, 119, 839, EH, 115, 321, 839, EH, 116, 839, LH, 763, 349, 837, EH, 114, 837, EH
116, 115, 855, EH, 288, 320, 855, LH, 113, 855, LH, 515, 331, 855, LH, 112, 852, EH
117, 113, 871, EH, 259, 324, 869, EH, 111, 869, EH, 518, 327, 872, LH, 111, 869, EH
118, 112, 887, EH, 417, 329, 885, EH, 112, 885, RH, 118, 323, 888, RH, 113, 888, LH
119, 114, 903, EH, 24, 342, 903, RH, 115, 903, EH, 999, 325, 903, EH, 116, 903, LH
120, 117, 919, EH, 131, 339, 918, LH, 114, 918, RH, 189, 329, 918, EH, 115, 921, LH
121, 116, 935, EH, 990, 338, 935, LH, 118, 935, RH, 94, 338, 938, EH, 120, 929, RH
122, 118, 951, EH, 57, 344, 950, EH, 117, 950, RH, 225, 337, 950, EH, 118, 938, RH
123, 123, 963, EH, 323, 348, 964, LH, 121, 962, RH, 427, 342, 961, LH, 119, 950, EH
124, 121, 971, EH, 888, 366, 970, EH, 120, 970, RH, 347, 341, 968, EH, 121, 965, EH
125, 120, 983, EH, 125, 359, 979, EH, 122, 983, EH, 629, 343, 983, EH, 122, 980, EH
126, 122, 995, RH, 186, 354, 991, EH, 123, 996, LH, 532, 365, 990, RH, 188, 993, EH
127, 125, 3, EH, 643, 364, 1, EH, 190, 1, RH, 617, 359, 5, LH, 157, 3, LH
128, 124, 11, EH, 644, 373, 9, LH, 158, 8, RH, 410, 353, 10, EH, 142, 9, EH
129, 126, 19, EH, 730, 371, 17, EH, 142, 18, EH, 948, 358, 23, EH, 133, 17, EH
130, 191, 27, EH, 258, 375, 29, LH, 133, 27, LH, 202, 360, 26, EH, 127, 24, EH
131, 159, 35, EH, 14, 378, 39, EH, 129, 36, EH, 866, 375, 31, RH, 125, 35, EH
132, 143, 43, EH, 138, 443, 49, EH, 127, 49, LH, 570, 373, 39, EH, 124, 46, EH
133, 135, 51, EH, 984, 413, 58, EH, 125, 56, LH, 609, 380, 49, LH, 126, 51, LH
134, 131, 59, EH, 955, 401, 61, EH, 126, 60, EH, 931, 381, 55, EH, 129, 55, EH
135, 129, 67, EH, 503, 398, 66, EH, 128, 66, RH, 258, 443, 64, LH, 128, 63, EH
136, 128, 75, EH, 916, 391, 74, LH, 131, 74, RH, 108, 411, 68, LH, 131, 68, RH
137, 130, 83, EH, 773, 385, 82, RH, 130, 83, RH, 70, 398, 72, RH, 130, 78, LH
138, 133, 91, EH, 51, 396, 93, EH, 132, 92, LH, 168, 388, 82, LH, 132, 83, RH
139, 132, 99, EH, 352, 400, 97, RH, 137, 99, LH, 885, 383, 98, LH, 138, 91, EH
140, 134, 107, EH, 294, 404, 104, RH, 135, 107, EH, 483, 391, 103, EH, 135, 103, EH
141, 139, 115, EH, 267, 403, 118, EH, 134, 116, LH, 141, 390, 111, EH, 134, 114, EH
142, 137, 123, EH, 318, 402, 121, LH, 136, 121, RH, 85, 392, 121, LH, 136, 120, EH
143, 136, 131, EH, 741, 410, 129, EH, 139, 129, LH, 367, 406, 126, EH, 137, 127, RH
144, 138, 139, EH, 633, 409, 137, EH, 138, 137, RH, 144, 404, 133, EH, 140, 138, LH
145, 141, 147, EH, 748, 426, 146, EH, 141, 146, EH, 145, 409, 143, RH, 139, 145, LH
146, 140, 155, EH, 610, 423, 152, RH, 140, 155, LH, 146, 408, 155, RH, 141, 153, LH
147, 142, 163, EH, 298, 420, 160, EH, 150, 163, LH, 20, 424, 164, RH, 147, 160, RH
148, 151, 171, EH, 122, 419, 166, EH, 146, 170, EH, 238, 420, 172, EH, 145, 170, EH
149, 147, 179, EH, 433, 422, 177, RH, 144, 177, RH, 149, 415, 176, EH, 144, 176, EH
150, 145, 187, EH, 47, 425, 185, LH, 143, 187, EH, 633, 414, 185, RH, 143, 185, LH
151, 144, 195, EH, 430, 424, 195, RH, 145, 192, RH, 853, 418, 198, EH, 146, 193, EH
